date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:08:40	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Sep%202023%2023:08:35%20GMT	https://ead.murciaeduca.es/robots.txt		(from )
01:08:40	8566/8566	U-----	200	untouched ('OK')	text/html	etag:%2262f4acc5-2176%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/INDEX.HTM	(from )
01:08:41	10627/10627	---M--	200	added ('OK')	text/css	etag:%22614450fc-2983%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/base.css	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/CSS/BASE.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:41	21457/21457	---M--	200	added ('OK')	text/css	etag:%225f319534-53d1%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/content.css	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/CSS/CONTENT.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:42	5563/5563	---M--	200	added ('OK')	text/css	etag:%225f319536-15bb%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/nav.css	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/CSS/NAV.CSS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:43	318/318	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2257698fdc-13e%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/favicon.ico	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/ICO/FAVICON.ICO	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:43	92596/92596	---M--	200	added ('OK')	application/x-javascript	etag:%2257837d9d-169b4%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/exe_jquery.js	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JS/EXE_JQUE.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:44	679/679	---M--	200	added ('OK')	application/x-javascript	etag:%225e409182-2a7%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/common_i18n.js	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JS/COMMON_I.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:44	38682/38682	---M--	200	added ('OK')	application/x-javascript	etag:%225ffdd9cb-971a%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/common.js	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JS/COMMON.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:45	8549/8549	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-2165%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/1_primeros_conceptos.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/1_PRIMER.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:45	12110/12110	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-2f4e%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/11_introduccin_qu_es_un_dispositivo_mvil.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/11_INTRO.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:46	12182/12182	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-2f96%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/12_limitaciones_de_las_tecnologas_mviles.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/12_LIMIT.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:46	11501/11501	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-2ced%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/13_tecnologas_disponibles.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/13_TECNO.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:47	17693/17693	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-451d%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/131_hardware.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/131_HARD.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:47	10515/10515	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-2913%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/2_sistemas_operativos.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/2_SISTEM.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:48	11452/11452	---M--	200	added ('OK')	text/html	etag:%2262f4acc6-2cbc%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/21_android.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/21_ANDRO.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:48	10740/10740	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-29f4%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/22_ios.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/22_IOS.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:49	9561/9561	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-2559%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/23_windows_phone.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/23_WINDO.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:49	15386/15386	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-3c1a%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/3_plataformas_de_desarrollo_y_lenguajes_de_programacin.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/3_PLATAF.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:50	8660/8660	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-21d4%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/31_eleccin_de_una_alternativa.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/31_ELECC.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:50	7889/7889	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-1ed1%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/32_la_plataforma_android.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/32_LA_PL.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:51	20734/20734	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-50fe%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/33_el_entorno_de_ejecucin.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/33_EL_EN.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:52	8557/8557	---M--	200	added ('OK')	text/html	etag:%2262f4acc5-216d%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/34_maquinas_virtuales.html	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/HTML/34_MAQUI.HTM	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:52	3698/3698	---M--	200	added ('OK')	image/png	etag:%2257628a32-e72%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/icon_casopracticofpd.png	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/PNG/ICON_CAS.PNG	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:53	62848/62848	---M--	200	added ('OK')	image/jpeg	etag:%2262f4acc5-f580%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/PMDM01_Ada.jpg	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JPG/PMDM01_A.JPG	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:53	26662/26662	---M--	200	added ('OK')	image/jpeg	etag:%2262f4acc5-6826%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/ministerio-de-educacion-y-formacion-profesional-web.jpg	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JPG/MINISTER.JPG	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:54	1075/1075	---M--	200	added ('OK')	image/jpeg	etag:%2262f4acc3-433%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/ico-nv.jpg	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JPG/ICO_NV.JPG	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
01:08:54	2980/2980	---M--	200	added ('OK')	application/x-javascript	etag:%225f319531-ba4%22	https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/_fpd_js.js	D:/Documentos/Mis%20lugares%20web/PMDM001/WEB/JS/_FPD_JS.JS	(from https://ead.murciaeduca.es/pluginfile.php/1432372/mod_resource/content/8/DAM_PMDM01_Contenidos/index.html)
